模型代号,模型名称,重复轮次,折号,训练孕妇数,测试孕妇数,训练事件数,测试事件数,均方根误差_RMSE,平均绝对误差_MAE,折内决定系数_R2,收敛标志,优化器,警告或异常
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,4,2,133,34,490,123,0.0247706492875,0.0194705548811,0.287885223322,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,4,3,135,32,491,122,0.0358206185852,0.0236142148383,0.118388805587,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,4,4,134,33,491,122,0.038798700874,0.0292493059593,-0.0669234146936,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,4,5,133,34,490,123,0.0252723933271,0.0201512023367,0.296416457632,1,lbfgs,The MLE may be on the boundary of the parameter space.
空模型_随机截距,空模型（随机截距）,5,1,134,33,491,122,0.0384922910866,0.0285425125571,-0.000361660724133,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,5,2,134,33,491,122,0.0374946126203,0.0275774497794,-0.130490620502,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,5,3,134,33,490,123,0.036328989889,0.0256245158085,-0.0599536182656,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,5,4,133,34,490,123,0.0338233033243,0.0247077561385,-0.089071129981,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,5,5,133,34,490,123,0.036197255474,0.0262166399331,-0.0462958673296,1,powell,lbfgs:LinAlgError:Singular matrix
核心线性_随机截距,核心线性模型（随机截距）,5,1,134,33,491,122,0.0359932486792,0.0256241417247,0.125315138476,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,5,2,134,33,491,122,0.0328311594288,0.0234215712171,0.133234410485,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,5,3,134,33,490,123,0.0330184506034,0.0235419126516,0.124424508726,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,5,4,133,34,490,123,0.0321331127473,0.023887292739,0.0170536810646,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,5,5,133,34,490,123,0.0344158146885,0.0245024906636,0.054156392099,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,5,1,134,33,491,122,0.0345031928095,0.0245892642123,0.196236859196,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,5,2,134,33,491,122,0.0317517963997,0.0227327563944,0.189289451884,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,5,3,134,33,490,123,0.0336471173218,0.0240904340952,0.0907654265741,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,5,4,133,34,490,123,0.0311280214329,0.0232125606497,0.0775831270336,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,5,5,133,34,490,123,0.0363653356112,0.026133768331,-0.0560352717515,1,powell,lbfgs:LinAlgError:Singular matrix
孕周二次_随机截距,孕周二次模型（随机截距）,5,1,134,33,491,122,0.0341253120265,0.0240946167033,0.213746162266,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,5,2,134,33,491,122,0.0309474478548,0.0226091168628,0.229843649024,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,5,3,134,33,490,123,0.0334817260871,0.0244190814713,0.0996820796646,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,5,4,133,34,490,123,0.0306054166938,0.0230008105189,0.108295828153,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,5,5,133,34,490,123,0.0361695616302,0.0260352438573,-0.0446954769431,1,lbfgs,Random effects covariance is singular
二次交互_随机截距,低阶曲率交互模型（随机截距）,5,1,134,33,491,122,0.0352324670107,0.025213340362,0.161900417988,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,5,2,134,33,491,122,0.0308289180456,0.0226039715735,0.235731803067,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,5,3,134,33,490,123,0.0335314417573,0.0243268814312,0.0970064028061,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,5,4,133,34,490,123,0.0304159007478,0.0229660678703,0.119304921202,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,5,5,133,34,490,123,0.0362418014887,0.0260945989384,-0.0488726919843,1,powell,lbfgs:LinAlgError:Singular matrix
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,5,1,134,33,491,122,0.0345168812084,0.024591089083,0.195598981249,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,5,2,134,33,491,122,0.0318573808481,0.0228232493136,0.183888765544,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,5,3,134,33,490,123,0.0337259197973,0.0241275772862,0.0865015345147,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,5,4,133,34,490,123,0.0312825653974,0.0232697089259,0.0684011855646,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,5,5,133,34,490,123,0.0362608445635,0.0260300786195,-0.0499752314763,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,5,1,134,33,491,122,0.0341282774878,0.0240999114775,0.213609506718,1,lbfgs,The MLE may be on the boundary of the parameter space.
