自助序号,剪枝树减逻辑回归_PR曲线下面积差,剪枝树减逻辑回归_ROC曲线下面积差,剪枝树减逻辑回归_对数损失差
120,-0.27251007109929914,-0.42723484786427357,0.05773030777631899
121,-0.3174552716413062,-0.3137927759983495,0.05157703723526741
122,-0.28203977184999457,-0.41517952814631215,0.07511345945128972
123,-0.3131593831512076,-0.2849851503151767,0.04755634761744382
124,-0.317885220637147,-0.3461024091603188,0.054031921648421494
125,-0.2795142023523293,-0.3479264681499932,0.07004264846595937
126,-0.3127341338639509,-0.30720762525748174,0.04043918960341342
127,-0.3219173835503321,-0.42086661002830295,0.07494155155352145
128,-0.2858860948732873,-0.37362143768438855,0.05543330126503815
129,-0.3156904472990255,-0.42742204541614176,0.0772601817822482
130,-0.3975667745022682,-0.37535583858512767,0.07445733105440411
131,-0.401835597475146,-0.4030527662916274,0.1007855825964451
132,-0.29879945524200324,-0.4506468064946812,0.08018337335586612
133,-0.33612182319823336,-0.3976798117431629,0.08104421928402783
134,-0.40336451424273045,-0.2882988049166689,0.046288401936025014
135,-0.3432913573608727,-0.33809055104696417,0.06571943436560485
136,-0.3018839718267734,-0.34574125687242246,0.057636413011028786
137,-0.4581405926162019,-0.3770938294463441,0.10685420343996727
138,-0.3754568212621282,-0.3015745921170878,0.06241346446745888
139,-0.28326941120819316,-0.3762031156725956,0.07299066431050821
140,-0.32385375865651383,-0.3710707172860915,0.0530260485455451
141,-0.2502292501016148,-0.3705949129696902,0.03948801111513944
142,-0.2601926695576575,-0.30919187831717015,0.027760430994220375
143,-0.2628658040938298,-0.27557882048347593,0.017650591826517792
144,-0.3248258263743898,-0.3436566609980692,0.04629435074035648
145,-0.37284975307347507,-0.42554143017258156,0.0933340778141954
146,-0.27405475849906524,-0.3380943006218595,0.05829496813907925
147,-0.3454221661743101,-0.27313592814530596,0.05620429055845094
148,-0.3613156847902742,-0.31388217721364875,0.06426619272627404
149,-0.26014245194856633,-0.291039913673614,0.03525110801482623
150,-0.3059912826228135,-0.3030257286334402,0.04865988384904091
151,-0.3737957844759998,-0.3280960620953427,0.049670189725198044
152,-0.31547499075088614,-0.287747972606908,0.05724340909605796
153,-0.35695429480577023,-0.35799831712055763,0.07162872212569765
154,-0.3093680672654723,-0.37522501058545316,0.03825610624246234
155,-0.3985950593430969,-0.38065359234129564,0.06885036409317341
156,-0.32518198009252086,-0.30465074091239697,0.041879745223608766
157,-0.260094409915832,-0.35692276608248125,0.04700340086178911
158,-0.2587797327246961,-0.3697770511493083,0.05713263413348968
159,-0.3469688663353714,-0.3134311782826523,0.058798210761406955
160,-0.32865140244132773,-0.35061344828176577,0.0633801594103055
161,-0.31164413054738804,-0.33140504226249623,0.05421721909940824
162,-0.2261418600423046,-0.36619179791782325,0.03773187217621421
163,-0.2680612114883429,-0.3596990755233508,0.05954149411899767
164,-0.2781385862635075,-0.3870922318648891,0.05851188693816406
165,-0.3208701690851707,-0.35763578417186387,0.07647718186500474
166,-0.22310496239681668,-0.2661207631680957,0.02318761814527981
167,-0.33974127611794147,-0.30222235415652404,0.05293950048886975
168,-0.33803403842528423,-0.32440961945454894,0.06164203900576942
169,-0.33555381806646134,-0.2774897666320849,0.04048594417227469
170,-0.3033105226963857,-0.2764344683362745,0.038303001073600795
171,-0.35892705477629405,-0.39109157953921186,0.07784208463665615
172,-0.3447217975497897,-0.3522910079370778,0.04527263848667806
173,-0.37616628349397296,-0.3409324497015689,0.08920826120125191
174,-0.32605437819796657,-0.3472623414657997,0.07159562905557032
175,-0.35888712864094074,-0.30439923126141394,0.05822075878091065
176,-0.35375181459317495,-0.30691505605448766,0.04564904870353598
177,-0.3525816707351896,-0.3868340290019733,0.07135400151240512
178,-0.24779847760279863,-0.34438474400945346,0.049626530753232645
179,-0.2911855746847144,-0.36358401761186226,0.07261323792970747
180,-0.31649217353885234,-0.3472572661189105,0.06376004841130284
181,-0.4199594560866078,-0.4380836653805808,0.10720846913851678
182,-0.30985264549134295,-0.22551579053924709,0.026074817491264002
183,-0.24559423238088768,-0.27921444561789754,0.029400191276367338
184,-0.22549548051815715,-0.3321778308749145,0.03810902150415968
185,-0.31739605465087634,-0.3053611317262983,0.056546109790973687
186,-0.3700707095029842,-0.3474174663528279,0.06295940468704947
187,-0.21697508326176707,-0.2587502172910794,0.019680909606203556
188,-0.37111355321237127,-0.3059650516307628,0.05232027199225847
189,-0.2814840631728603,-0.3594811083593557,0.0559196974146684
190,-0.3123912622256757,-0.40306030603060294,0.07773469277440959
191,-0.35920090651437053,-0.34679264637213636,0.08456831148848476
192,-0.3310206385115755,-0.4324131754577037,0.0902993703336048
193,-0.26185918673239095,-0.34708472927746814,0.03881621311276684
