目标,路线,外层留出孕妇,训练内阈值,阈值来源,正则强度倒数,训练内对数损失,剪枝复杂度,叶节点数
任一T13_T18_T21异常,L1正则多因素逻辑回归,B064,0.31618484859928786,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.31162499760162243,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B064,0.3710786780741487,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B065,0.2493069461825559,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.31053941178118094,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B065,0.3710786780741487,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B066,0.23143654636475403,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.31774692378645736,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B066,0.39353553921568635,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B067,0.41429405280567805,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3072305797694657,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B067,0.40629053177691316,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B068,0.373066669183046,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3078240702072298,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B068,0.42143906020558014,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.008244523100329523,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B069,0.5030825455769974,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2629175442703702,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B069,0.3940964722822174,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.01179404256420552,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B070,0.3851090608205527,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.32048399733373084,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B070,0.41891891891891897,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.009573589410530218,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B071,0.3762595175959741,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3220811401996378,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B071,0.41891891891891897,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.012167937712347372,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B072,0.24693377480185355,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.3271476478637947,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B072,0.37022961203483773,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.01131987967680504,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B073,0.30033012888773336,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3224447967047867,,
