重复序号,有效标志,抽样技术误差标准差,达标事件数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
56,1,0.005492711436427239,482,210.55875803920293,216.8580122825104,0,36.43617476,151,16,0.3621700237576128,-0.13146922450552354,-0.09140839359470383,-0.04286967139573666,0.17964278902963776,0.6175512174246534,0.6524623314345204,0.928755496196164,0.6435060598079625,0.6779591049026596,0.9379569282436345,0.40899362525618,0.44176676109685764,0.8214427438981806,
57,1,0.0046371924867864255,489,206.80703570634722,212.57601249350677,0,36.43617476,151,16,0.3466693723159524,-0.12415419087443809,-0.08484497294237346,-0.04392021938652205,0.18339791123676058,0.6359717154499782,0.6711598459819726,0.9250228937006019,0.6652556617416581,0.6997686307800605,0.9353229818966527,0.43710830285558644,0.4712684757278571,0.8288866055905524,
58,1,0.00593374848610955,474,217.61650266545445,224.8376432599797,0,36.43617476,151,16,0.34487263075133134,-0.12003967506182174,-0.0847561193543044,-0.04443748721469561,0.18846335343009352,0.6164832359784306,0.6520479375743375,0.9085116580666118,0.6388916591819455,0.6740071245124244,0.9171511677574918,0.43526130793844126,0.47003961276545847,0.8188498399639499,
59,1,0.00507419003388455,489,210.69752791728584,216.7868790979772,0,36.43617476,151,16,0.3448228880401008,-0.1392504850459523,-0.08141235343364067,-0.0504614928894951,0.16588832106659862,0.636614948934202,0.6709489320255392,0.9216960635310664,0.6637450479482994,0.6976007640868152,0.93178011657409,0.4103428407193592,0.4416616150214562,0.8016242776551239,
60,1,0.004395961893001306,488,206.7243193667491,213.31653986349545,0,36.43617476,151,16,0.33548426868514014,-0.12283690141236288,-0.08711419970003793,-0.03709528852476405,0.18941648342409637,0.6360112600126886,0.6704936133911288,0.9148653199583625,0.6613702620411845,0.6951832961318853,0.9242966840768667,0.44534964265927934,0.47996322028041843,0.8224491087122554,
61,1,0.0036165691702286116,485,205.96980098335118,212.0129149198823,0,36.43617476,151,16,0.356979823507534,-0.12794139807440802,-0.08815127564743613,-0.03621361180211532,0.18671404255393373,0.6226449913809948,0.6589074782132159,0.9268495124747661,0.6469570749787853,0.6827261349887918,0.9352895757698144,0.41998310633292274,0.45466527455855477,0.8287317072292444,
62,1,0.004349667116013616,492,208.65675177429466,214.42628178087028,0,29.10103014,28,139,0.3476189022128712,-0.1327569681792628,-0.0819677088835395,-0.0463539936811253,0.17937883672896082,0.6357079943807615,0.669775100050396,0.9307640273441463,0.8197559311483387,0.8453661243502294,0.9805271294714087,0.6040627680991367,0.6386032168942706,0.918687029815986,
63,1,0.004471704430079352,481,210.11841964118952,216.04856391879576,0,36.43617476,151,16,0.359827749031157,-0.13331300775750501,-0.08915007829253196,-0.04563710047048951,0.18393404217515275,0.6116967105118456,0.6478468276566852,0.9205741000575736,0.6377323988129998,0.6735218696258206,0.9301535796507553,0.4102500244923783,0.4435617557625541,0.8174237332923739,
64,1,0.004951358815096713,489,208.96718408149417,216.02202472846005,0,36.43617476,151,16,0.346443334800717,-0.11374478802766498,-0.08445609266931146,-0.044121248736575275,0.17685862951099537,0.6346519247549723,0.669535673787036,0.9262787280214396,0.6565298072347057,0.6908482686914474,0.9339309716374057,0.450458548252321,0.4855062275152522,0.8402792264922642,
65,1,0.00580729365006271,482,213.12923467135525,220.02164201904674,0,36.43617476,151,16,0.3485723720918438,-0.12082481268367175,-0.08203783823494151,-0.03343847703638739,0.19113733578550654,0.6178360633019696,0.653983564976248,0.9159077583851735,0.6428246635667498,0.6784572861195927,0.9251126185667587,0.441080102478822,0.47652730336718896,0.8312018091681916,
