孕周数,孕妇平均BMI,BMI个体内偏差,年龄,生产次数,典型孕妇预测Y浓度,固定效应95%区间下限,固定效应95%区间上限
15.25,32.0,0.0,29.0,0,0.048180270473654675,0.04473441345568766,0.05185490219799602
15.5,32.0,0.0,29.0,0,0.04840212919142102,0.04493421356663009,0.05216616697914918
15.75,32.0,0.0,29.0,0,0.048654353949640045,0.04513478695171352,0.05250747850980296
16.0,32.0,0.0,29.0,0,0.04893738434361232,0.045368435807947534,0.052879387357982865
16.25,32.0,0.0,29.0,0,0.04925171485792664,0.04563563974440078,0.05318322303266866
16.5,32.0,0.0,29.0,0,0.04959789612991107,0.045936948671557405,0.05349208373351055
16.75,32.0,0.0,29.0,0,0.049976536355910595,0.04620302782837646,0.05393953189785977
17.0,32.0,0.0,29.0,0,0.05038830284365269,0.04657511837161619,0.05452817965029789
17.25,32.0,0.0,29.0,0,0.05083392371423217,0.046986736980274314,0.05514836522609536
17.5,32.0,0.0,29.0,0,0.05131418975750436,0.047436778857489564,0.05580095897803771
17.75,32.0,0.0,29.0,0,0.05182995644491536,0.04786431380096434,0.05637152958178847
18.0,32.0,0.0,29.0,0,0.05238214610401877,0.04828652752720839,0.057014503387759506
18.25,32.0,0.0,29.0,0,0.052971750259124796,0.048841171362592695,0.0577367925205683
18.5,32.0,0.0,29.0,0,0.05359983214269362,0.0494029653881058,0.058495936169427255
18.75,32.0,0.0,29.0,0,0.05426752938221977,0.0499773074731678,0.05929306570239286
19.0,32.0,0.0,29.0,0,0.05497605686744615,0.050591827632220504,0.06012937432012927
19.25,32.0,0.0,29.0,0,0.05572670980279143,0.05125132589096363,0.060980280993055656
19.5,32.0,0.0,29.0,0,0.0565208669498649,0.05204282458261191,0.06182165914429758
19.75,32.0,0.0,29.0,0,0.05735999406486625,0.05288660955533582,0.06270004819241456
20.0,32.0,0.0,29.0,0,0.058245647535516074,0.05378470404326541,0.06361165994011528
20.25,32.0,0.0,29.0,0,0.05917947822192417,0.05473935051716929,0.06456600740218639
20.5,32.0,0.0,29.0,0,0.060163235505459184,0.05576168416340147,0.0655767756011722
20.75,32.0,0.0,29.0,0,0.06119877154922522,0.056846791482218925,0.06678576101003414
21.0,32.0,0.0,29.0,0,0.062288045773155304,0.057988583560345086,0.06811752950020633
21.25,32.0,0.0,29.0,0,0.06343312954598226,0.05899101228485329,0.06950984381424784
21.5,32.0,0.0,29.0,0,0.06463621109541971,0.06004979797216982,0.07095800690159777
21.75,32.0,0.0,29.0,0,0.0658996006367565,0.06116718674684558,0.07232533990880796
22.0,32.0,0.0,29.0,0,0.06722573571870813,0.06234556192664589,0.07375091116599782
22.25,32.0,0.0,29.0,0,0.06861718678374744,0.06355696555925909,0.07523801959446957
22.5,32.0,0.0,29.0,0,0.07007666293822085,0.06488001645744847,0.07678902101984754
22.75,32.0,0.0,29.0,0,0.0716070179253075,0.06623135893547143,0.07840637980524254
23.0,32.0,0.0,29.0,0,0.07321125629125508,0.06765236339219177,0.08009267273092047
23.25,32.0,0.0,29.0,0,0.07489253973228191,0.06915900966407525,0.08185059292742779
23.5,32.0,0.0,29.0,0,0.07665419360602267,0.07075357925018821,0.08368055556156864
23.75,32.0,0.0,29.0,0,0.0784997135873586,0.07228018252989926,0.08594368807189573
24.0,32.0,0.0,29.0,0,0.08043277244385608,0.07385909697975292,0.08802300909998252
